drug_id,generic_name,molecular_formula,molecular_weight,smiles
2104,perflutren,C3F8,188.02,C(C(F)(F)F)(C(F)(F)F)(F)F
1834,monobenzone,C13H12O2,200.23,C1=CC=C(C=C1)COC2=CC=C(C=C2)O
2684,tobramycin,C18H37N5O9,467.5,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N
3051,butamben,C11H15NO2,193.24,CCCCOC(=O)C1=CC=C(C=C1)N
3103,citrulline,C6H13N3O3,175.19,C(CC(C(=O)O)N)CNC(=O)N
3347,methionine,C5H11NO2S,149.21,CSCCC(C(=O)O)N
3524,resorcinol,C6H6O2,110.11,C1=CC(=CC(=C1)O)O
3578,tafenoquine,C24H28F3N3O3,463.5,CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC
3592,tetrofosmin,C18H40O4P2,382.5,CCOCCP(CCOCC)CCP(CCOCC)CCOCC
4140,nadide,C21H27N7O14P2,663.4,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
4148,epicriptine,C32H43N5O5,577.7,CCC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O
4138,gentian violet,C25H30ClN3,408.0,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
4280,tocofersolan,,,
4666,betiatide,C15H17N3O6S,367.4,C1=CC=C(C=C1)C(=O)SCC(=O)NCC(=O)NCC(=O)NCC(=O)O
4610,sucrose,C12H22O11,342.30,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
